Newcastle United,Crystal Palace,1,2|Manchester City,AFC Bournemouth,6,6|Southampton,West Ham United,6,6|Nottingham Forest,Leicester City,6,6|Chelsea,Brighton & Hove Albion,6,6|Brentford,Liverpool,6,6|Arsenal,Manchester United,6,6|Tottenham Hotspur,Leeds United,6,6|Wolverhampton Wanderers,Aston Villa,66,6|Everton,Fulham,66,1|
Leicester City,Newcastle United,8,8|Fulham,Aston Villa,8,8|Chelsea,Brighton & Hove Albion,8,8|Brentford,West Ham United,8,8|Tottenham Hotspur,AFC Bournemouth,8,8|Leeds United,Arsenal,8,8|Crystal Palace,Everton,8,8|Wolverhampton Wanderers,Nottingham Forest,8,8|Southampton,Manchester United,8,8|Liverpool,Manchester City,8,8|
Fulham,Leicester City,9,9|Crystal Palace,Aston Villa,9,9|West Ham United,Brighton & Hove Albion,99,9|Wolverhampton Wanderers,Manchester United,9,9|Liverpool,Nottingham Forest,9,9|Tottenham Hotspur,Everton,9,9|Chelsea,Brentford,9,9|Arsenal,Manchester City,9,9|Newcastle United,Southampton,9,9|Leeds United,AFC Bournemouth,9,9|
Fulham,AFC Bournemouth,5,5|Nottingham Forest,Crystal Palace,5,5|Aston Villa,Liverpool,5,5|Leicester City,Brighton & Hove Albion,5,5|Arsenal,Newcastle United,5,5|West Ham United,Southampton,5,5|Brentford,Manchester United,5,5|Manchester City,Leeds United,5,5|Tottenham Hotspur,Everton,5,5|Wolverhampton Wanderers,Chelsea,5,5|
Arsenal,AFC Bournemouth,2,2|Leicester City,Brentford,2,2|Everton,Southampton,2,2|Newcastle United,Leeds United,2,2|Aston Villa,Manchester United,2,2|Wolverhampton Wanderers,Crystal Palace,2,2|Brighton & Hove Albion,Fulham,2,2|Tottenham Hotspur,Manchester City,2,2|West Ham United,Liverpool,2,2|Nottingham Forest,Chelsea,2,2|
Leicester City,Chelsea,23,33|Nottingham Forest,AFC Bournemouth,3,2|West Ham United,Manchester City,3,3|Arsenal,Newcastle United,3,3|Wolverhampton Wanderers,Fulham,3,3|Manchester United,Brentford,3,3|Brighton & Hove Albion,Aston Villa,3,3|Southampton,Tottenham Hotspur,3,3|Leeds United,Crystal Palace,3,2|Liverpool,Everton,3,3|
Newcastle United,Arsenal,3,3|Leeds United,Manchester United,3,3|Nottingham Forest,Leicester City,3,3|Brighton & Hove Albion,Chelsea,3,3|Liverpool,Southampton,3,3|Crystal Palace,Fulham,3,3|AFC Bournemouth,Manchester City,3,3|Aston Villa,West Ham United,3,3|Brentford,Tottenham Hotspur,3,3|Wolverhampton Wanderers,Everton,3,3|
Brentford,Crystal Palace,1,1|Tottenham Hotspur,Leeds United,1,1|Aston Villa,Arsenal,1,1|Newcastle United,Fulham,1,1|Manchester City,Manchester United,1,1|Liverpool,West Ham United,1,1|Leicester City,Nottingham Forest,1,1|Wolverhampton Wanderers,AFC Bournemouth,1,1|Chelsea,Brighton & Hove Albion,1,1|Southampton,Everton,1,1|
Crystal Palace,Manchester United,3,3|Newcastle United,AFC Bournemouth,33,3|Liverpool,Arsenal,3,3|Aston Villa,Fulham,3,3|Leeds United,Brighton & Hove Albion,3,3|Nottingham Forest,Tottenham Hotspur,3,3|West Ham United,Wolverhampton Wanderers,3,3|Manchester City,Everton,3,3|Brentford,Leicester City,3,3|Southampton,Chelsea,2,3|
Aston Villa,Newcastle United,6,6|West Ham United,Manchester United,2,6|Chelsea,Fulham,6,6|Liverpool,Southampton,6,6|AFC Bournemouth,Everton,6,6|Brighton & Hove Albion,Brentford,6,6|Wolverhampton Wanderers,Nottingham Forest,6,2|Leeds United,Arsenal,6,6|Leicester City,Crystal Palace,6,6|Tottenham Hotspur,Manchester City,6,6|
Arsenal,Manchester United,6,6|Fulham,Aston Villa,6,6|Wolverhampton Wanderers,Nottingham Forest,64,4|Crystal Palace,Chelsea,4,4|Leeds United,Manchester City,4,4|Everton,West Ham United,4,4|Brighton & Hove Albion,Newcastle United,4,4|Leicester City,Southampton,4,4|Tottenham Hotspur,Liverpool,4,4|AFC Bournemouth,Brentford,4,4|
Chelsea,Newcastle United,5,5|Manchester United,Fulham,5,5|Wolverhampton Wanderers,Manchester City,5,5|West Ham United,Aston Villa,5,5|Southampton,Brighton & Hove Albion,5,5|AFC Bournemouth,Leeds United,5,5|Liverpool,Arsenal,5,5|Everton,Nottingham Forest,5,1|Tottenham Hotspur,Crystal Palace,55,5|Leicester City,Brentford,5,5|
Leeds United,Nottingham Forest,6,6|Aston Villa,Newcastle United,6,6|Tottenham Hotspur,AFC Bournemouth,6,6|Brentford,Everton,6,6|Wolverhampton Wanderers,Fulham,6,6|West Ham United,Manchester City,6,6|Liverpool,Leicester City,6,6|Chelsea,Manchester United,6,6|Brighton & Hove Albion,Arsenal,6,6|Southampton,Crystal Palace,6,6|
Everton,Fulham,3,3|Crystal Palace,Wolverhampton Wanderers,3,3|Liverpool,Brentford,3,3|Manchester City,Manchester United,5,5|AFC Bournemouth,Leeds United,5,5|Arsenal,Tottenham Hotspur,5,5|Brighton & Hove Albion,Southampton,5,5|Newcastle United,West Ham United,5,5|Chelsea,Leicester City,5,5|Nottingham Forest,Aston Villa,5,5|
Nottingham Forest,Newcastle United,1,1|Fulham,Everton,1,1|Chelsea,Aston Villa,1,1|Liverpool,AFC Bournemouth,1,1|Brentford,Crystal Palace,1,1|Wolverhampton Wanderers,Arsenal,1,1|Leeds United,Manchester United,1,1|Manchester City,Leicester City,1,1|West Ham United,Tottenham Hotspur,1,1|Brighton & Hove Albion,Southampton,1,1|
Southampton,Newcastle United,1,1|AFC Bournemouth,Manchester United,1,1|West Ham United,Leeds United,1,1|Brentford,Brighton & Hove Albion,1,1|Everton,Manchester City,1,1|Tottenham Hotspur,Nottingham Forest,1,1|Crystal Palace,Wolverhampton Wanderers,1,1|Leicester City,Chelsea,1,1|Fulham,Liverpool,1,1|Arsenal,Aston Villa,1,1|
Tottenham Hotspur,Chelsea,4,4|Leicester City,Everton,4,4|Arsenal,Southampton,4,4|West Ham United,AFC Bournemouth,4,4|Nottingham Forest,Brentford,4,4|Manchester City,Aston Villa,4,4|Wolverhampton Wanderers,Leeds United,4,4|Newcastle United,Liverpool,4,4|Brighton & Hove Albion,Fulham,4,4|Crystal Palace,Manchester United,4,4|
Manchester United,Manchester City,2,2|Fulham,Chelsea,2,2|AFC Bournemouth,Aston Villa,2,2|Brentford,Crystal Palace,2,2|Arsenal,Tottenham Hotspur,2,2|Leeds United,Nottingham Forest,2,2|Newcastle United,Southampton,2,2|Liverpool,Everton,2,2|West Ham United,Wolverhampton Wanderers,2,2|Leicester City,Brighton & Hove Albion,2,2|
Wolverhampton Wanderers,Tottenham Hotspur,4,4|West Ham United,Brentford,4,4|Newcastle United,Manchester United,4,4|Liverpool,Everton,4,4|Leeds United,Southampton,4,4|Leicester City,Brighton & Hove Albion,4,4|Aston Villa,Manchester City,4,4|Crystal Palace,AFC Bournemouth,4,4|Chelsea,Nottingham Forest,4,4|Arsenal,Fulham,4,4|
Leeds United,Brighton & Hove Albion,4,4|Manchester United,Brentford,4,4|Liverpool,Aston Villa,4,4|Wolverhampton Wanderers,West Ham United,4,4|Tottenham Hotspur,Fulham,4,4|AFC Bournemouth,Nottingham Forest,4,4|Everton,Manchester City,4,4|Chelsea,Newcastle United,4,4|Arsenal,Southampton,4,4|Leicester City,Crystal Palace,4,4|
Aston Villa,Leeds United,2,2|Manchester United,Manchester City,2,2|Crystal Palace,AFC Bournemouth,2,2|Everton,Newcastle United,2,2|Arsenal,Liverpool,2,2|Leicester City,Brighton & Hove Albion,2,2|Brentford,Southampton,2,2|Fulham,Tottenham Hotspur,2,2|Wolverhampton Wanderers,West Ham United,2,2|Nottingham Forest,Chelsea,2,2|
Brentford,Nottingham Forest,2,2|Arsenal,West Ham United,2,2|Brighton & Hove Albion,Leeds United,2,2|Wolverhampton Wanderers,Liverpool,2,2|Aston Villa,AFC Bournemouth,2,2|Fulham,Chelsea,4,1|Newcastle United,Tottenham Hotspur,1,2|Crystal Palace,Southampton,2,2|Manchester United,Everton,2,2|Leicester City,Manchester City,2,2|
Chelsea,West Ham United,5,5|Brentford,Leicester City,5,5|AFC Bournemouth,Nottingham Forest,5,5|Leeds United,Wolverhampton Wanderers,5,5|Arsenal,Southampton,5,5|Fulham,Aston Villa,5,5|Brighton & Hove Albion,Manchester United,5,5|Liverpool,Newcastle United,5,5|Crystal Palace,Manchester City,5,5|Tottenham Hotspur,Everton,5,5|
AFC Bournemouth,Aston Villa,3,3|West Ham United,Southampton,3,3|Manchester United,Liverpool,3,3|Newcastle United,Wolverhampton Wanderers,3,3|Chelsea,Leeds United,3,3|Crystal Palace,Manchester City,3,3|Arsenal,Nottingham Forest,3,3|Everton,Tottenham Hotspur,3,3|Brentford,Leicester City,3,3|Fulham,Brighton & Hove Albion,3,3|
Wolverhampton Wanderers,Nottingham Forest,1,1|West Ham United,Crystal Palace,1,23|Newcastle United,Brighton & Hove Albion,4,4|Manchester United,Tottenham Hotspur,4,4|Brentford,AFC Bournemouth,4,4|Southampton,Liverpool,4,4|Chelsea,Leicester City,4,4|Everton,Manchester City,4,4|Fulham,Aston Villa,4,4|Leeds United,Arsenal,4,4|
Arsenal,Liverpool,2,2|Fulham,Everton,2,2|West Ham United,Aston Villa,2,2|Southampton,Crystal Palace,2,2|Brighton & Hove Albion,Wolverhampton Wanderers,2,2|Nottingham Forest,Chelsea,2,2|Brentford,Tottenham Hotspur,2,2|Leicester City,Leeds United,2,2|Newcastle United,Manchester United,2,2|AFC Bournemouth,Manchester City,2,2|
Aston Villa,Wolverhampton Wanderers,2,2|Southampton,Leeds United,2,2|Brentford,West Ham United,2,2|Everton,Nottingham Forest,2,2|Manchester United,Tottenham Hotspur,2,2|Manchester City,AFC Bournemouth,2,2|Chelsea,Crystal Palace,2,2|Arsenal,Leicester City,2,2|Brighton & Hove Albion,Fulham,2,2|Liverpool,Newcastle United,2,2|
Chelsea,Manchester City,2,2|Brighton & Hove Albion,Wolverhampton Wanderers,2,2|Newcastle United,West Ham United,2,2|Leicester City,Arsenal,2,2|Aston Villa,Leeds United,2,2|Tottenham Hotspur,Southampton,2,2|Everton,Brentford,2,2|Liverpool,Nottingham Forest,2,2|Crystal Palace,AFC Bournemouth,2,2|Manchester United,Fulham,2,2|
